Year,Series,øki,kyn,aldur,Units,Value
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,4.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,5.3
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,6.4
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,4.9
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,4.7
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,4.0
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,4.1
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,3.8
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,3.6
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,3.0
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,3.0
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,3.2
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,3.4
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,2.7
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,3.3
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,2.8
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,3.1
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,3.8
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,4.3
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,3.1
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,3.4
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,3.1
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,2.7
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,2.2
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,2.7
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,2.4
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,1.7
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,2.6
