Year,Series,region,sex,age,Units,GeoCode,Value
2024,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,2.8
2009,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,4.9
2010,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,4.8
2011,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,5.3
2012,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,6.4
2013,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,4.9
2014,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,4.7
2015,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,4.0
2016,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,4.1
2017,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,3.8
2018,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,3.6
2019,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,3.0
2020,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,3.0
2021,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,3.2
2022,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,3.4
2023,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,2.7
2024,Proportion of population living below the national poverty line,,Males,Age 0 - 17,pct.,TOTAL,3.3
2009,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,2.8
2010,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,3.1
2011,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,3.8
2012,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,4.3
2013,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,3.1
2014,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,3.4
2015,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,3.1
2016,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,2.7
2017,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,2.2
2018,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,2.7
2019,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,2.4
2020,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,1.7
2021,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,2.6
2022,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,1.8
2023,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,2.3
2024,Proportion of population living below the national poverty line,,Males,Age 18 - 24,pct.,TOTAL,3.0
2009,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,3.1
2010,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,3.6
2011,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,3.9
2012,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,4.0
2013,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,2.9
